title,quarter,OperatingCashFlow,InvestingCashFlow,FinancingCashFlow,IncreaseInCashAndCashEquivalents,EndCashPosition
AJ네트웍스,15년 12월,"-1,063.3",-743.8,"2,311.7",521.3,847.9
AJ네트웍스,16년 12월,"-1,867.4",-850.8,"3,201.6",437.1,"1,285.0"
AJ네트웍스,17년 12월,"-1,484.8",-894.2,"1,871.8",-511.0,774.0
AJ네트웍스,18년 12월,-835.4,-445.6,"1,274.7",-238.9,535.1
AJ네트웍스,19년 12월,-379.1,444.1,643.3,694.8,"1,229.9"
AK홀딩스,15년 12월,"1,412.5","1,434.3","-1,463.8","1,390.9","2,740.4"
AK홀딩스,16년 12월,"3,183.1","-1,286.0",-742.7,"1,143.3","3,883.7"
AK홀딩스,17년 12월,"2,809.3","-2,925.1",-393.2,-579.8,"3,303.8"
AK홀딩스,18년 12월,"3,172.6","-2,246.0",899.6,"1,810.3","5,114.1"
AK홀딩스,19년 12월,"2,741.9","-2,193.2","-2,954.9","-2,265.3","2,848.9"
BGF,15년 12월,"3,593.1","-4,445.7",266.6,-586.0,"1,522.1"
BGF,16년 12월,"3,319.7","-1,580.4","-2,247.8",-508.2,"1,013.9"
BGF,17년 12월,"3,841.2","-3,508.9","-1,185.9",-853.7,160.2
BGF,18년 12월,-292.0,294.2,-37.2,-35.0,125.3
BGF,19년 12월,138.3,-4.0,-115.4,19.0,144.2
BGF리테일,15년 12월, , , , , 
BGF리테일,16년 12월, , , , , 
BGF리테일,17년 12월,-249.6,321.0,-17.2,54.2,287.6
BGF리테일,18년 12월,"3,458.0","-3,242.2",-149.8,65.8,353.4
BGF리테일,19년 12월,"5,328.1","-2,939.1","-2,462.0",-72.9,280.5
BNK금융지주,15년 12월,"7,464.2","-8,554.9","4,361.0","3,662.7","11,438.9"
BNK금융지주,16년 12월,"-11,258.1","-3,718.8","11,978.4","-2,852.7","8,586.1"
BNK금융지주,17년 12월,"15,302.5","-4,273.1","-9,319.5","1,559.7","10,145.8"
BNK금융지주,18년 12월,"3,544.4","-8,538.1","6,363.8","1,310.5","11,456.3"
BNK금융지주,19년 12월,"-4,886.3","-8,528.6","13,394.7",46.6,"11,502.9"
BYC,15년 12월,280.7,-836.8,590.9,34.0,53.1
BYC,16년 12월,439.4,-378.6,180.7,239.6,292.7
BYC,17년 12월,235.4,-308.8,88.2,-88.3,204.4
BYC,18년 12월,490.5,-214.6,-206.6,65.9,270.3
BYC,19년 12월,187.2,419.4,-731.9,-122.4,147.9
CJ,15년 12월,"22,956.1","-14,614.7","-6,370.9","2,039.1","11,950.8"
CJ,16년 12월,"20,917.5","-33,447.0","12,305.0",-258.0,"11,692.8"
CJ,17년 12월,"22,404.0","-28,638.0","7,182.2",502.6,"12,195.5"
CJ,18년 12월,"15,410.9","-21,260.1","8,273.5","2,540.2","14,735.7"
CJ,19년 12월,"38,645.8","-48,957.2","11,671.4","1,290.8","16,026.4"
CJ CGV,15년 12월,"1,516.7","-2,273.1","1,065.0",305.1,"1,393.0"
CJ CGV,16년 12월,"1,878.1","-8,353.5","7,054.2",602.2,"1,995.2"
CJ CGV,17년 12월,"1,943.4","-2,859.1",360.4,-669.5,"1,325.7"
CJ CGV,18년 12월,"1,053.1",-399.9,-58.0,527.6,"1,853.3"
CJ CGV,19년 12월,"2,833.4","-2,284.8","1,049.8","1,663.3","3,516.6"
CJ대한통운,15년 12월,"1,718.7",-863.8,"-1,007.8",-151.4,"1,000.9"
CJ대한통운,16년 12월,"2,084.0","-7,054.6","5,432.3",386.2,"1,387.1"
CJ대한통운,17년 12월,"2,464.1","-6,896.0","4,564.8",155.9,"1,543.0"
CJ대한통운,18년 12월,618.4,"-8,434.9","7,785.5",90.4,"1,633.3"
CJ대한통운,19년 12월,"8,492.3","-3,187.2","-4,726.3",575.8,"2,209.1"
CJ씨푸드,15년 12월,312.0,-209.8,-99.5,2.8,12.9
CJ씨푸드,16년 12월,-54.7,-84.2,130.9,-8.0,4.9
CJ씨푸드,17년 12월,156.1,-111.0,-46.1,-0.9,4.0
CJ씨푸드,18년 12월,-10.4,-69.0,86.3,6.8,10.8
CJ씨푸드,19년 12월,72.8,-46.6,-35.3,-9.0,1.7
CJ제일제당,15년 12월,"11,545.7","-6,930.0","-3,644.9",937.6,"5,297.8"
CJ제일제당,16년 12월,"8,001.4","-14,089.2","7,259.4","1,145.8","6,443.6"
CJ제일제당,17년 12월,"11,808.4","-14,639.1","2,653.5",-535.1,"5,908.6"
CJ제일제당,18년 12월,"4,714.3","-10,346.3","5,209.7",-432.8,"5,475.7"
CJ제일제당,19년 12월,"21,431.0","-31,898.9","12,287.1","1,433.8","6,909.5"
CS홀딩스,15년 12월,268.4,-115.8,29.1,181.9,733.6
CS홀딩스,16년 12월,166.0,-179.8,-32.7,-46.0,687.6
CS홀딩스,17년 12월,168.7,3.8,-42.3,128.0,815.6
CS홀딩스,18년 12월,101.9,-34.1,-98.7,-30.6,785.0
CS홀딩스,19년 12월,192.8,124.3,-74.2,243.3,"1,028.3"
DB,15년 12월,-130.8,"1,046.1",-864.0,51.6,89.0
DB,16년 12월,143.5,68.9,-186.0,28.3,117.3
DB,17년 12월,79.6,17.6,-83.5,13.2,130.5
DB,18년 12월,67.6,-848.1,927.9,148.9,279.4
DB,19년 12월,310.1,-87.5,-258.4,-35.7,243.7
DB금융투자,15년 12월,-168.9,-101.4,-239.1,-514.0,"1,630.5"
DB금융투자,16년 12월,"3,077.1",35.1,"-1,445.4","1,671.8","3,302.3"
DB금융투자,17년 12월,"-1,314.8",67.5,"1,395.0",138.0,"3,440.3"
DB금융투자,18년 12월,"1,688.4",-24.0,"-1,597.6",67.1,"3,507.4"
DB금융투자,19년 12월,"-6,205.1",61.4,"6,059.6",-82.2,"3,425.2"
DB손해보험,15년 12월,"24,331.4","-20,659.2",-812.4,"2,896.3","7,476.2"
DB손해보험,16년 12월,"31,025.8","-30,134.6",-940.3,62.6,"7,538.8"
DB손해보험,17년 12월,"-3,159.9","-6,042.5","5,011.4","-4,280.6","3,258.2"
DB손해보험,18년 12월,"2,464.4","1,445.1",-448.0,"3,485.8","6,744.0"
DB손해보험,19년 12월,"21,965.8","-23,290.4","-1,164.5","-2,494.8","4,249.2"
DB하이텍,15년 12월,"1,527.2",-122.1,-717.7,677.6,"1,081.3"
DB하이텍,16년 12월,"2,483.1","-1,210.3","-1,185.3",74.5,"1,155.8"
DB하이텍,17년 12월,"1,831.2","-1,019.0",-857.9,-80.9,"1,074.9"
