stock,quarter,sales,operatingProfit,netIncome,operatingMargin,netProfitMargin,PER,PBR,ROE
AJ네트웍스,15년 9월,2822,208,51,7.35,3.12,71.30,1.58,0.02
AJ네트웍스,15년 12월,2731,134,26,4.90,1.30,172.59,1.68,0.01
AJ네트웍스,16년 3월,2804,150,53,5.35,2.16,72.96,1.43,0.02
AJ네트웍스,16년 6월,3193,177,44,5.54,2.06,73.07,1.18,0.02
AJ네트웍스,16년 9월,3196,168,32,5.26,1.54,88.94,1.04,0.01
AJ네트웍스,16년 12월,3345,124,5,3.70,-0.14,624.68,1.09,0
AJ네트웍스,17년 3월,3515,218,51,6.21,1.96,50.90,0.94,0.02
AJ네트웍스,17년 6월,3378,200,36,5.91,1.51,96.62,1.24,0.01
AJ네트웍스,17년 9월,3714,208,53,5.61,2.24,66.12,1.22,0.02
AJ네트웍스,17년 12월,3703,146,9,3.94,0.10,358.24,1.13,0
AJ네트웍스,18년 3월,4038,140,61,3.46,2.47,54.45,1.15,0.02
AJ네트웍스,18년 6월,4018,117,-55,2.91,-1.18,-51.98,0.93,-0.02
AJ네트웍스,18년 9월,2691,93,16,3.46,1.82,181.84,0.93,0.01
AJ네트웍스,18년 12월,2744,-365,507,-13.32,15.89,4.16,0.62,0.16
AJ네트웍스,19년 3월,2775,70,1263,2.53,45.93,1.78,0.55,0.34
AJ네트웍스,19년 6월,2968,109,-299,3.66,-10.02,-8.43,0.67,-0.08
AJ네트웍스,19년 9월,3122,96,34,3.08,0.91,60.95,0.53,0.01
AJ네트웍스,19년 12월,3162,-97,-537,-3.05,-18.48,-4.33,0.73,-0.15
AJ네트웍스,20년 3월,3167,120,12,3.78,0.64,119.10,0.44,0
AJ네트웍스,20년 6월,3064,87,35,2.83,0.96,38.75,0.43,0.01
AK홀딩스,09년 9월,1500,103,62,6.89,4.15,17.35,0.45,0.03
AK홀딩스,09년 12월,-,-,-,-,-,-,0.46,-
AK홀딩스,10년 3월,1759,132,92,7.49,5.24,11.91,0.48,0.04
AK홀딩스,10년 6월,1951,128,201,6.56,10.28,7.53,0.61,0.09
AK홀딩스,10년 9월,1959,151,99,7.73,5.04,16.64,0.63,0.04
AK홀딩스,10년 12월,-,-,-,-,-,-,0.81,-
AK홀딩스,11년 3월,2029,178,132,8.78,6.51,15.76,0.83,0.05
AK홀딩스,11년 6월,2029,139,102,6.85,5.03,29.56,1.12,0.04
AK홀딩스,11년 9월,2234,96,59,4.29,2.65,31.15,0.67,0.02
AK홀딩스,11년 12월,-,-,-,-,-,-,1.05,-
AK홀딩스,12년 3월,1097,70,105,6.34,12.09,27.74,-,-
AK홀딩스,12년 6월,1007,67,120,6.62,13.62,20.81,-,-
AK홀딩스,12년 9월,1089,70,1490,6.40,138.84,1.21,-,-
AK홀딩스,12년 12월,1087,65,138,5.96,13.96,11.94,0.66,-
