title,startDate,endDate,raw,scale
CJ,2020.11.24,2020.12.04,"[190, 211, 129, 103, 5, 40, 241, 119, 133, 211, 193]","[0.7838983050847458, 0.8728813559322034, 0.5254237288135594, 0.4152542372881356, 0.0, 0.1483050847457627, 1.0, 0.4830508474576271, 0.5423728813559322, 0.8728813559322034, 0.7966101694915254]"
CJ대한통운,2020.11.24,2020.12.04,"[31, 40, 31, 4, 1, 12, 44, 6, 49, 12, 4]","[0.625, 0.8125, 0.625, 0.0625, 0.0, 0.22916666666666666, 0.8958333333333334, 0.10416666666666667, 1.0, 0.22916666666666666, 0.0625]"
DB,2020.11.24,2020.12.04,"[91, 19, 20, 14, 3, 3, 29, 49, 132, 83, 71]","[0.6821705426356589, 0.12403100775193798, 0.13178294573643412, 0.08527131782945736, 0.0, 0.0, 0.20155038759689922, 0.35658914728682173, 1.0, 0.6201550387596899, 0.5271317829457365]"
CJ제일제당,2020.11.24,2020.12.04,"[41, 53, 35, 30, 0, 1, 3, 34, 5, 5, 46]","[0.7735849056603774, 1.0, 0.660377358490566, 0.5660377358490566, 0.0, 0.018867924528301886, 0.05660377358490566, 0.6415094339622641, 0.09433962264150944, 0.09433962264150944, 0.8679245283018868]"
DB금융투자,2020.11.24,2020.12.04,"[17, 0, 6, 0, 0, 0, 17, 13, 1, 2, 5]","[1.0, 0.0, 0.35294117647058826, 0.0, 0.0, 0.0, 1.0, 0.7647058823529411, 0.058823529411764705, 0.11764705882352941, 0.29411764705882354]"
BYC,2020.11.24,2020.12.04,"[11, 2, 0, 1, 0, 0, 1, 0, 15, 3, 0]","[0.7333333333333333, 0.13333333333333333, 0.0, 0.06666666666666667, 0.0, 0.0, 0.06666666666666667, 0.0, 1.0, 0.2, 0.0]"
AJ네트웍스,2020.11.24,2020.12.04,"[0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.5, 0.0, 0.0]"
BGF리테일,2020.11.24,2020.12.04,"[1, 25, 25, 11, 4, 0, 5, 4, 2, 2, 0]","[0.04, 1.0, 1.0, 0.44, 0.16, 0.0, 0.2, 0.16, 0.08, 0.08, 0.0]"
DB손해보험,2020.11.24,2020.12.04,"[22, 8, 1, 0, 0, 0, 0, 0, 41, 1, 20]","[0.5365853658536586, 0.1951219512195122, 0.024390243902439025, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.024390243902439025, 0.4878048780487805]"
BGF,2020.11.24,2020.12.04,"[1, 25, 25, 144, 7, 0, 9, 8, 2, 2, 0]","[0.006944444444444444, 0.1736111111111111, 0.1736111111111111, 1.0, 0.04861111111111111, 0.0, 0.0625, 0.05555555555555555, 0.013888888888888888, 0.013888888888888888, 0.0]"
AK홀딩스,2020.11.24,2020.12.04,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
CJ씨푸드,2020.11.24,2020.12.04,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1]","[1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]"
BNK금융지주,2020.11.24,2020.12.04,"[0, 0, 3, 2, 0, 0, 1, 1, 2, 0, 7]","[0.0, 0.0, 0.42857142857142855, 0.2857142857142857, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857, 0.0, 1.0]"
CJ CGV,2020.11.24,2020.12.04,"[41, 10, 2, 3, 0, 1, 20, 5, 9, 0, 9]","[1.0, 0.24390243902439024, 0.04878048780487805, 0.07317073170731707, 0.0, 0.024390243902439025, 0.4878048780487805, 0.12195121951219512, 0.21951219512195122, 0.0, 0.21951219512195122]"
DGB금융지주,2020.11.24,2020.12.04,"[0, 0, 0, 1, 0, 0, 29, 8, 2, 1, 0]","[0.0, 0.0, 0.0, 0.034482758620689655, 0.0, 0.0, 1.0, 0.27586206896551724, 0.06896551724137931, 0.034482758620689655, 0.0]"
