title,code,sector,isKOSPI,saleGrowthRate,saleGrowthRateAvg,operatingMarginRate,operatingMarginRateAvg,crawledPER,crawledPERAvg
AJ네트웍스,095570,도로와 철도운송,True,-1.38,-1.27,1.66,0.07,-4.76,28.83
AK홀딩스,006840,화학,True,8.77,9.18,-3.71,4.62,-2.31,52.81
BGF,027410,백화점과 일반상점,True,40.81,5,8.9,-12.69,23.89,-26.88
BGF리테일,282330,백화점과 일반상점,True,-,-,-,-,-,-
BNK금융지주,138930,은행,True,2.43,8.33,15.5,12.84,3.77,5.04
BYC,001460,"섬유, 의류, 신발, 호화품",True,-6.97,5.16,12.9,0.07,6.21,29.35
CJ,001040,복합기업,True,12.14,3.68,4.35,5.86,10.93,22.85
CJ CGV,079160,방송과엔터테인먼트,True,10.69,14.98,-82.05,-19.88,-2.03,-39.21
CJ대한통운,000120,항공화물운송과 물류,True,19.64,4.94,3.11,1.37,42.65,20.34
CJ씨푸드,011150,식품,True,-4.96,10.85,3.4,3.99,60.96,20.65
CJ제일제당,097950,식품,True,15.35,10.85,5.1,3.99,8.57,20.65
CS홀딩스,000590,철강,True,3.1,4.43,13.49,0.86,5.72,38.85
DB,012030,IT서비스,True,5.21,9.32,8.98,-0.69,15.4,23.77
DB금융투자,016610,증권,True,-9.21,12.58,5.96,6.64,6.06,7.41
DB손해보험,005830,손해보험,True,3.05,7.44,3.66,2.54,6.08,8.36
DB하이텍,000990,반도체와 반도체 장비,True,1.46,11.5,27.76,4.21,9.35,18.62
DGB금융지주,139130,은행,True,10.68,8.33,7.71,12.84,4.03,5.04
DRB동일,004840,자동차부품,True,-0.26,1.38,4.29,-1.62,29.45,33.75
DSR,155660,비철금속,True,5.53,3.09,5.24,-5.78,10.69,21.5
DSR제강,069730,철강,True,3.53,4.43,2.82,0.86,9.46,38.85
E1,017940,가스 유틸리티,True,4.87,2.74,3.12,2.41,23.09,32.62
F&F,007700,"섬유, 의류, 신발, 호화품",True,27.52,5.16,14.77,0.07,12.99,29.35
GKL,114090,"호텔, 레스토랑, 레저",True,-3.62,10.8,-46.38,-70.8,-72.04,-41.62
GS,078930,석유와 가스,True,9.73,7.14,6.95,-10.84,-30.42,-9.37
GS건설,006360,건설,True,-1.91,8.53,6.92,1.03,6.7,7.02
GS글로벌,001250,무역회사와 판매업체,True,15.05,0.51,1.76,0.53,-9.6,9.56
GS리테일,007070,백화점과 일반상점,True,6.76,5,3.1,-12.69,15.59,-26.88
HDC,012630,건설,True,-30.18,8.53,9.01,1.03,2.91,7.02
HDC아이콘트롤스,039570,건설,True,10.14,8.53,5.63,1.03,-56.42,7.02
HDC현대EP,089470,자동차부품,True,-1.02,1.38,4.31,-1.62,14.47,33.75
HDC현대산업개발,294870,건설,True,-,-,-,-,-,-
HMM,011200,해운사,True,6.34,2.28,5.88,16.25,-44.06,62.29
HSD엔진,082740,조선,True,-5.65,-3.94,1.64,-8.11,-16.53,-26.88
JB금융지주,175330,은행,True,4.72,8.33,19.83,12.84,3.53,5.04
JW생명과학,234080,제약,True,8.77,11.49,18.49,-258.49,12.53,123.4
JW중외제약,001060,제약,True,3.04,11.49,-6.91,-258.49,-21.94,123.4
JW홀딩스,096760,제약,True,1.98,11.49,-0.6,-258.49,-13.6,123.4
KB금융,105560,은행,True,22.99,8.33,9.08,12.84,6.06,5.04
KC그린홀딩스,009440,기계,True,21.33,8.28,0.96,-8.38,-33.49,-24.04
KC코트렐,119650,기계,True,18.79,8.28,0.01,-8.38,-16.4,-24.04
KEC,092220,반도체와 반도체 장비,True,-3.96,11.5,-4.67,4.21,-11.68,18.62
KG동부제철,016380,철강,True,1.41,4.43,4.23,0.86,10.81,38.85
KG케미칼,001390,화학,True,36.77,9.18,6.06,4.62,1.89,52.81
KISCO홀딩스,001940,철강,True,3.79,4.43,6.6,0.86,4.8,38.85
KPX케미칼,025000,화학,True,5.76,9.18,7.14,4.62,4.55,52.81
KPX홀딩스,092230,화학,True,13.2,9.18,7.1,4.62,4.46,52.81
KR모터스,000040,자동차,True,16.07,4.2,-12.43,-5.63,-2.92,41.72
KSS해운,044450,해운사,True,17.89,2.28,22.16,16.25,9.33,62.29
KTB투자증권,030210,증권,True,13.16,12.58,4.76,6.64,4.99,7.41
KTcs,058850,상업서비스와 공급품,True,-0.31,13.39,1.72,8.49,10.05,24.72
KTis,058860,상업서비스와 공급품,True,1.08,13.39,3.63,8.49,9.65,24.72
LF,093050,"섬유, 의류, 신발, 호화품",True,6.58,5.16,4.4,0.07,10.81,29.35
LG,003550,복합기업,True,-12.08,3.68,24.4,5.86,10.53,22.85
LG디스플레이,034220,디스플레이 패널,True,-3.96,-10.6,-5.38,-26.25,-2.24,-2.23
LG상사,001120,무역회사와 판매업체,True,-4.17,0.51,1.13,0.53,5.16,9.56
LG생활건강,051900,화장품,True,8.04,25.83,15.61,-28.75,31.46,63.53
LG유플러스,032640,무선통신서비스,True,2.64,1.04,6.99,5.5,6.31,12.57
LG이노텍,011070,전자장비와 기기,True,12.99,9.27,5.18,0.6,29.55,51
LG전자,066570,전자제품,True,4.01,0.89,4.39,-61.35,17.53,24.63
LG하우시스,108670,건축자재,True,2.86,4.02,2.07,-0.13,-95.21,39.49
LG헬로비전,037560,방송과엔터테인먼트,True,0.35,14.98,2.2,-19.88,-3.14,-39.21
LG화학,051910,화학,True,11.48,9.18,5.8,4.62,63.02,52.81
LIG넥스원,079550,우주항공과 국방,True,-7.92,14.15,2.31,-5.6,20.6,21.24
LS,006260,전기장비,True,6.15,6.05,2.53,2.18,-46.64,-82.91
