title,code,sector,isKOSPI,saleGrowthRate,saleGrowthRateAvg,operatingMarginRate,operatingMarginRateAvg,crawledPER,crawledPERAvg,debtRatio
AJ네트웍스,095570,도로와 철도운송,True,-1.38,-1.27,1.66,0.07,-4.75,29.08,419.160
AK홀딩스,006840,화학,True,8.77,9.18,-5.64,4.6,-1.93,52.9,202.668
BGF,027410,백화점과 일반상점,True,40.81,5,8.9,-12.81,24.19,-27.53,8.449
BGF리테일,282330,백화점과 일반상점,True,,,,,,,248.928
BNK금융지주,138930,은행,True,2.43,8.33,15.5,12.84,3.72,5.11,
BYC,001460,"섬유, 의류, 신발, 호화품",True,-6.97,5.16,12.9,-0.15,6.24,26.53,59.760
CJ,001040,복합기업,True,12.14,3.68,4.35,5.86,11.05,22.99,176.299
CJ CGV,079160,방송과엔터테인먼트,True,10.69,14.98,-82.05,-19.87,-2.14,-34.19,652.616
CJ대한통운,000120,항공화물운송과 물류,True,19.64,4.94,3.11,1.35,41.77,17.2,149.231
CJ씨푸드,011150,식품,True,-4.96,10.85,3.84,4.04,52.18,19.05,97.885
CJ제일제당,097950,식품,True,15.35,10.85,5.53,4.04,7,19.05,177.179
CS홀딩스,000590,철강,True,3.1,4.43,12.67,0.84,7.27,39.86,9.833
DB,012030,IT서비스,True,5.21,9.32,8.98,-0.65,15.88,23.68,72.120
DB금융투자,016610,증권,True,-9.21,12.58,5.96,6.64,6.04,7.64,
DB손해보험,005830,손해보험,True,3.05,7.44,3.66,2.54,6.08,8.44,
DB하이텍,000990,반도체와 반도체 장비,True,1.46,11.5,27.76,4.25,9.34,16.95,68.912
DGB금융지주,139130,은행,True,10.68,8.33,7.71,12.84,4.05,5.11,
DRB동일,004840,자동차부품,True,-0.26,1.38,4.29,-1.59,29.54,34.78,61.483
DSR,155660,비철금속,True,5.53,3.09,5.24,-5.72,10.84,21.62,54.768
DSR제강,069730,철강,True,3.53,4.43,2.82,0.84,9.72,39.86,42.136
E1,017940,가스 유틸리티,True,4.87,2.74,1.34,2.23,4.62,25.33,198.763
F&F,007700,"섬유, 의류, 신발, 호화품",True,27.52,5.16,14.77,-0.15,13.11,26.53,41.491
GKL,114090,"호텔, 레스토랑, 레저",True,-3.62,10.8,-46.38,-70.93,-72.28,-41.28,55.412
GS,078930,석유와 가스,True,9.73,7.14,6.92,-10.86,-40.65,-9.59,124.912
GS건설,006360,건설,True,-1.91,8.53,6.92,0.98,6.66,6.98,217.913
GS글로벌,001250,무역회사와 판매업체,True,15.05,0.51,1.76,0.43,-10.05,9.81,217.233
GS리테일,007070,백화점과 일반상점,True,6.76,5,3.1,-12.81,15.59,-27.53,176.569
HDC,012630,건설,True,-30.18,8.53,9.01,0.98,2.96,6.98,78.456
HDC아이콘트롤스,039570,건설,True,10.14,8.53,5.63,0.98,-56.48,6.98,40.677
HDC현대EP,089470,자동차부품,True,-1.02,1.38,4.31,-1.59,15.11,34.78,93.074
HDC현대산업개발,294870,건설,True,,,,,,,97.584
HMM,011200,해운사,True,6.34,2.28,5.88,16.23,-42.91,97.52,556.712
HSD엔진,082740,조선,True,-5.65,-3.94,1.64,-8.11,-17.14,-28.74,340.345
JB금융지주,175330,은행,True,4.72,8.33,19.83,12.84,3.54,5.11,
JW생명과학,234080,제약,True,8.77,11.49,18.49,-258.45,12.24,111.38,64.257
JW중외제약,001060,제약,True,3.04,11.49,-6.91,-258.45,-21.71,111.38,149.121
JW홀딩스,096760,제약,True,1.98,11.49,-0.6,-258.45,-13.65,111.38,253.640
KB금융,105560,은행,True,22.99,8.33,9.08,12.84,6.06,5.11,
KC그린홀딩스,009440,기계,True,21.33,8.28,0.96,-8.39,-33.49,-24.97,177.256
KC코트렐,119650,기계,True,18.79,8.28,0.01,-8.39,-16.4,-24.97,335.557
KEC,092220,반도체와 반도체 장비,True,-3.96,11.5,-4.67,4.25,-15.17,16.95,56.202
KG동부제철,016380,철강,True,1.41,4.43,4.23,0.84,11.24,39.86,164.798
KG케미칼,001390,화학,True,36.77,9.18,6.06,4.6,1.98,52.9,207.163
KISCO홀딩스,001940,철강,True,3.79,4.43,6.95,0.84,4.95,39.86,17.307
KPX케미칼,025000,화학,True,5.76,9.18,7.14,4.6,4.71,52.9,12.986
KPX홀딩스,092230,화학,True,13.2,9.18,7.14,4.6,4.71,52.9,22.658
KR모터스,000040,자동차,True,16.07,4.2,-12.43,-5.63,-3.16,42.33,309.205
KSS해운,044450,해운사,True,17.89,2.28,22.16,16.23,8.99,97.52,239.443
KTB투자증권,030210,증권,True,13.16,12.58,4.76,6.64,5.01,7.64,
KTcs,058850,상업서비스와 공급품,True,-0.31,13.39,1.72,8.48,10.09,25.07,130.381
KTis,058860,상업서비스와 공급품,True,1.08,13.39,3.63,8.48,9.58,25.07,85.309
LF,093050,"섬유, 의류, 신발, 호화품",True,6.58,5.16,4.4,-0.15,10.78,26.53,73.701
LG,003550,복합기업,True,-12.08,3.68,24.4,5.86,10.71,22.99,17.947
LG디스플레이,034220,디스플레이 패널,True,-3.96,-10.6,-5.38,-24.56,-2.25,-2.27,184.864
LG상사,001120,무역회사와 판매업체,True,-4.17,0.51,1.13,0.43,5.3,9.81,214.861
LG생활건강,051900,화장품,True,8.04,25.83,15.6,-29.3,30.49,62.6,53.258
LG유플러스,032640,무선통신서비스,True,2.64,1.04,6.99,5.5,6.37,12.66,144.109
LG이노텍,011070,전자장비와 기기,True,12.99,9.52,5.18,0.39,29.28,39.58,161.760
LG전자,066570,전자제품,True,4.01,0.89,4.39,-61.35,17.41,24.76,173.117
LG하우시스,108670,건축자재,True,2.86,4.02,2.07,0,-92.11,39.63,180.092
LG헬로비전,037560,방송과엔터테인먼트,True,0.35,14.98,2.2,-19.87,-3.15,-34.19,
LG화학,051910,화학,True,11.48,9.18,5.8,4.6,67.32,52.9,95.725
LIG넥스원,079550,우주항공과 국방,True,-7.92,14.15,2.31,-5.6,20.6,21.56,265.550
LS,006260,전기장비,True,6.15,6.05,2.53,2.33,-45.97,-73.59,151.995
LS네트웍스,000680,"섬유, 의류, 신발, 호화품",True,-6.13,5.16,-12.84,-0.15,-18.41,26.53,124.887
LS전선아시아,229640,전기장비,True,14.66,6.05,4.01,2.33,21.43,-73.59,123.076
MH에탄올,023150,음료,True,18.26,1.64,2,1.96,-32.37,171.37,468.686
NAVER,035420,양방향미디어와서비스,True,17.91,21.26,14.01,-21.71,56.16,105.03,89.109
NH투자증권,005940,증권,True,9.17,12.58,7.08,6.64,6.93,7.64,
NH프라임리츠,338100,부동산,True,,,,,,,0.690
NICE,034310,상업서비스와 공급품,True,11.73,13.39,9.54,8.48,91.04,25.07,109.610
NI스틸,008260,철강,True,9.04,4.43,7.19,0.84,9.08,39.86,133.283
OCI,010060,화학,True,-1.63,9.18,-8.39,4.6,-2.22,52.9,79.140
S&TC,100840,기계,True,-5.66,8.28,9.45,-8.39,7.21,-24.97,36.310
S&T모티브,064960,자동차부품,True,-5.42,1.38,9.06,-1.59,12.2,34.78,41.162
S&T중공업,003570,자동차부품,True,-7.11,1.38,4.41,-1.59,14.04,34.78,36.342
S&T홀딩스,036530,자동차부품,True,-0.56,1.38,8.49,-1.59,5.1,34.78,37.563
S-Oil,010950,석유와 가스,True,14.33,7.14,-6.06,-10.86,-9.19,-9.59,151.414
SBS,034120,방송과엔터테인먼트,True,-0.46,14.98,6.64,-19.87,-4.79,-34.19,92.818
SBS미디어홀딩스,101060,방송과엔터테인먼트,True,-21.96,14.98,-3.45,-19.87,-3.2,-34.19,12.265
SG세계물산,004060,"섬유, 의류, 신발, 호화품",True,0.42,5.16,-11.31,-0.15,-29.77,26.53,40.434
SG충방,001380,자동차부품,True,-3.84,1.38,3.93,-1.59,-92.65,34.78,56.896
SH에너지화학,002360,화학,True,-13.6,9.18,-9.87,4.6,-10.89,52.9,24.662
SIMPAC,009160,기계,True,17.21,8.28,0.79,-8.39,58.82,-24.97,53.933
SK,034730,복합기업,True,6.26,3.68,0.81,5.86,-415.49,22.99,152.997
SKC,011790,화학,True,2.49,9.18,5.99,4.6,37.37,52.9,130.135
SK가스,018670,가스 유틸리티,True,-2.2,2.74,5.32,2.23,2.61,25.33,145.807
SK네트웍스,001740,복합기업,True,0.38,3.68,0.6,5.86,-40.95,22.99,339.812
SK디스커버리,006120,석유와 가스,True,-1.92,7.14,4.92,-10.86,4.26,-9.59,115.224
SK디앤디,210980,부동산,True,18.05,15.65,23.26,45.89,9.25,15.26,286.507
SK렌터카,068400,도로와 철도운송,True,-0.35,-1.27,6.87,0.07,20.23,29.08,377.221
SK이노베이션,096770,석유와 가스,True,8.07,7.14,-5.35,-10.86,-6,-9.59,117.061
SK증권,001510,증권,True,5.61,12.58,0.6,6.64,249.74,7.64,
SK케미칼,285130,화학,True,,,,,,,196.604
SK텔레콤,017670,무선통신서비스,True,1.26,1.04,6.48,5.5,17.08,12.66,95.463
SK하이닉스,000660,반도체와 반도체 장비,True,16.21,11.5,13.28,4.25,25.01,16.95,35.138
SPC삼립,005610,식품,True,10.14,10.85,1.83,4.04,-49.57,19.05,270.670
STX,011810,무역회사와 판매업체,True,-5.08,0.51,-0.36,0.43,-7.75,9.81,895.021
STX엔진,077970,조선,True,4.84,-3.94,2.44,-8.11,57.06,-28.74,248.841
STX중공업,071970,조선,True,-15.2,-3.94,-2.09,-8.11,-4.37,-28.74,231.140
TCC스틸,002710,철강,True,-0.55,4.43,1.24,0.84,244.1,39.86,168.916
WISCOM,024070,화학,True,-4.96,9.18,-1.42,4.6,-54.45,52.9,13.749
YG PLUS,037270,방송과엔터테인먼트,True,20.96,14.98,-3.08,-19.87,-44.9,-34.19,40.165
가온전선,000500,전기장비,True,3.47,6.05,1.48,2.33,10.81,-73.59,99.656
강남제비스코,000860,건축자재,True,0.02,4.02,-1.6,0,9.29,39.63,19.796
강원랜드,035250,"호텔, 레스토랑, 레저",True,-3.59,10.8,-81.84,-70.93,-243.77,-41.28,19.376
갤럭시아에스엠,011420,방송과엔터테인먼트,True,-14.85,14.98,1.17,-19.87,-155.31,-34.19,29.556
경농,002100,화학,True,3.71,9.18,-9.11,4.6,35.69,52.9,83.705
경동나비엔,009450,가정용 기기와 용품,True,9.9,5.66,8.35,1.63,19.5,17.25,102.565
경동도시가스,267290,가스 유틸리티,True,,,,,,,120.840
경동인베스트,012320,석유와 가스,True,19.33,7.14,3.58,-10.86,13.29,-9.59,46.060
경방,000050,"섬유, 의류, 신발, 호화품",True,-3.06,5.16,6.38,-0.15,7.1,26.53,84.847
경보제약,214390,제약,True,0.88,11.49,3.14,-258.45,36.93,111.38,59.434
경인양행,012610,화학,True,9.29,9.18,4.26,4.6,69.15,52.9,98.827
